op	fs	nc	nndis	nia
16685	720	1	1	255
171178	8257	7	7	3023
99023	2746	1	1	678
1173435	22007	20	20	7814
109287	4680	5	5	1196
50982	2699	1	1	907
3884	294	1	1	10
85908	1867	4	4	308
617943	24035	10	10	9973
180300	7921	4	4	2356
14483	242	1	1	78
3614	215	1	1	8
339938	18774	9	9	9245
133288	4399	5	5	1372
53341	2606	1	1	479
48461	3040	5	5	789
17906	2834	1	1	412
97430	4325	7	7	1139
12221	1739	1	1	71
79408	5052	6	6	1429
69020	4001	2	2	1135
266449	8338	3	3	3264
90483	4966	2	2	1440
39172	315	1	1	99
184162	8961	5	6	3502
15136	293	1	1	55
4611	538	1	1	16
41434	2902	2	2	934
2881	571	1	1	31
192394	7555	1	1	2763
50000	2092	3	3	965
314827	26713	9	9	8236
161925	4022	2	2	1050
6720	311	1	1	54
322347	16678	11	11	4838
81555	1319	3	3	215
108060	5778	1	1	2374
201349	7118	4	4	2740
9197	376	1	1	26
135587	5117	2	2	2110
25796	263	1	1	34
103221	2395	3	3	260
457093	21653	16	16	4327
12115	1309	1	1	52
33620	377	1	1	51
10735	292	1	1	57
292869	10765	4	4	5364
156663	2201	6	6	788
7281	386	1	1	17
121113	6336	3	3	2011
13147	144	1	1	11
