range	sqrt.area	gun	expt
10	2.6	Stevens	train
10	3.35	Stevens	train
10	3.33	Stevens	train
10	3.06	Stevens	train
10	3.38	Stevens	train
10	3.85	Stevens	train
20	6.84	Stevens	train
20	6.32	Stevens	train
20	6.96	Stevens	train
20	5.85	Stevens	train
20	5.95	Stevens	train
20	6.29	Stevens	train
30	6.51	Stevens	train
30	6.72	Stevens	train
30	8.24	Stevens	train
30	7.38	Stevens	train
30	9.84	Stevens	train
30	9.42	Stevens	train
40	10.28	Stevens	train
40	11.47	Stevens	train
40	14.1	Stevens	train
40	12.54	Stevens	train
40	16.13	Stevens	train
40	11.03	Stevens	train
50	11.8	Stevens	train
50	13.74	Stevens	train
50	5.18	Stevens	train
50	20.13	Stevens	train
50	16.94	Stevens	train
50	14.09	Stevens	train
10	3.01	Remington	train
10	3.02	Remington	train
10	3.29	Remington	train
10	3	Remington	train
10	3.2	Remington	train
10	3.11	Remington	train
20	5.57	Remington	train
20	5	Remington	train
20	5.42	Remington	train
20	5.73	Remington	train
20	5.29	Remington	train
20	5.1	Remington	train
30	8.09	Remington	train
30	6.8	Remington	train
30	7.95	Remington	train
30	8.62	Remington	train
30	8.41	Remington	train
30	8.62	Remington	train
40	10.81	Remington	train
40	10.19	Remington	train
40	13.01	Remington	train
40	11.17	Remington	train
40	11.33	Remington	train
40	9.35	Remington	train
50	16.07	Remington	train
50	14.9	Remington	train
50	17.47	Remington	train
50	14.21	Remington	train
50	13.13	Remington	train
50	11.93	Remington	train
19	5.74	Stevens	predict
38	13.8	Stevens	predict
45	16.66	Stevens	predict
22	5.98	Stevens	predict
30	9.23	Stevens	predict
45	14.17	Remington	predict
14	3.44	Remington	predict
44	12.61	Remington	predict
36	10.25	Remington	predict
37	9.96	Remington	predict
